Month,Active Users,Avg Lookups/Day,Monthly UPC Lookups,Cumulative UPCs Looked Up,UPC Saturation (%),UPC API Calls Billed,UPC API Cost,API Plan,UPC Storage Size (GB),User Storage Size (GB),UPC Storage Cost,User Storage Cost,Storage Cost,Total Cost,Break Even Revenue/User
25,575,5.0,86250,639450,0.14606666305508648,86250,99.0,dev,1.5245676040649414,0.6854534149169922,1.5245676040649414,0.6854534149169922,2.2100210189819336,101.21002101898193,0.17601742785909902
26,661,5.0,99150,738600,0.16871504782623642,99150,99.0,dev,1.7609596252441406,0.7879734039306641,1.7609596252441406,0.7879734039306641,2.5489330291748047,101.5489330291748,0.15362924815306325
27,761,5.0,114150,852750,0.19478981455973882,114150,99.0,dev,2.033114433288574,0.9071826934814453,2.033114433288574,0.9071826934814453,2.9402971267700195,101.94029712677002,0.13395571238734563
28,875,5.0,131250,984000,0.2247706567303231,131250,99.0,dev,2.346038818359375,1.043081283569336,2.346038818359375,1.043081283569336,3.389120101928711,102.38912010192871,0.11701613725934709
29,1007,5.0,151050,1135050,0.2592743230912126,151050,99.0,dev,2.706170082092285,1.2004375457763672,2.706170082092285,1.2004375457763672,3.9066076278686523,102.90660762786865,0.10219126874664215
30,1158,5.0,173700,1308750,0.29895182621525435,173700,99.0,dev,3.120303153991699,1.3804435729980469,3.120303153991699,1.3804435729980469,4.500746726989746,103.50074672698975,0.08937888318392898
31,1331,5.0,199650,1508400,0.344556970134166,199650,99.0,dev,3.5963058471679688,1.5866756439208984,3.5963058471679688,1.5866756439208984,5.182981491088867,104.18298149108887,0.0782742159963102
32,1531,5.0,229650,1738050,0.39701487797778257,229650,99.0,dev,4.143834114074707,1.825094223022461,4.143834114074707,1.825094223022461,5.968928337097168,104.96892833709717,0.06856233072312029
33,1761,5.0,264150,2002200,0.4573534643348098,264150,99.0,dev,4.773616790771484,2.099275588989258,4.773616790771484,2.099275588989258,6.872892379760742,105.87289237976074,0.06012089289026731
34,2025,5.0,303750,2305950,0.5267376990724476,303750,99.0,dev,5.4978132247924805,2.4139881134033203,5.4978132247924805,2.4139881134033203,7.911801338195801,106.9118013381958,0.05279595127812138
35,2329,5.0,349350,2655300,0.606538134975637,349350,99.0,dev,6.330728530883789,2.7763843536376953,6.330728530883789,2.7763843536376953,9.107112884521484,108.10711288452148,0.046417824338566546
36,2678,5.0,401700,3057000,0.6982966439274366,401700,99.0,dev,7.288455963134766,3.192424774169922,7.288455963134766,3.192424774169922,10.480880737304688,109.48088073730469,0.04088158354641699
37,3079,5.0,461850,3518850,0.8037949445482697,461850,99.0,dev,8.389592170715332,3.6704540252685547,8.389592170715332,3.6704540252685547,12.060046195983887,111.06004619598389,0.03607016765053066
38,3541,5.0,531150,4050000,0.9251231298351712,531150,99.0,dev,9.655952453613281,4.221200942993164,9.655952453613281,4.221200942993164,13.877153396606445,112.87715339660645,0.03187719666664966
39,4071,5.0,610650,4660650,1.0646111395225408,610650,699.0,pro,11.111855506896973,4.853010177612305,11.111855506896973,4.853010177612305,15.964865684509277,714.9648656845093,0.17562389233223022
40,4680,5.0,702000,5362650,1.2249658153606373,702000,699.0,pro,12.785553932189941,5.5789947509765625,12.785553932189941,5.5789947509765625,18.364548683166504,717.3645486831665,0.15328302322289883
41,5379,5.0,806850,6169500,1.4092709011155775,806850,699.0,pro,14.709234237670898,6.412267684936523,14.709234237670898,6.412267684936523,21.121501922607422,720.1215019226074,0.13387646438419917
42,6182,5.0,927300,7096800,1.6210898340282083,927300,699.0,pro,16.920089721679688,7.369518280029297,16.920089721679688,7.369518280029297,24.289608001708984,723.289608001709,0.1169992895505838
43,7105,5.0,1065750,8162550,1.8645342724533522,1065750,699.0,pro,19.46103572845459,8.469820022583008,19.46103572845459,8.469820022583008,27.930855751037598,726.9308557510376,0.1023125764603853
44,8164,5.0,1224600,9387150,2.144264095859809,1224600,699.0,pro,22.380709648132324,9.732246398925781,22.380709648132324,9.732246398925781,32.112956047058105,731.1129560470581,0.08955327732080574
45,9379,5.0,1406850,10794000,2.465624460108849,1406850,699.0,pro,25.734901428222656,11.180639266967773,25.734901428222656,11.180639266967773,36.91554069519043,735.9155406951904,0.07846417962418066
46,10774,5.0,1616100,12410100,2.8347828527327055,1616100,699.0,pro,29.587984085083008,12.843608856201172,29.587984085083008,12.843608856201172,42.43159294128418,741.4315929412842,0.06881674335820347
47,12373,5.0,1855950,14266050,3.2587290929345785,1855950,699.0,pro,34.01291370391846,14.749765396118164,34.01291370391846,14.749765396118164,48.76267910003662,747.7626791000366,0.060435034276249626
48,14206,5.0,2130900,16396950,3.745480914506373,2130900,699.0,pro,39.09337520599365,16.934871673583984,39.09337520599365,16.934871673583984,56.02824687957764,755.0282468795776,0.05314854616919454
49,16306,5.0,2445900,18842850,4.304186757287569,2445900,699.0,pro,44.92485523223877,19.43826675415039,44.92485523223877,19.43826675415039,64.36312198638916,763.3631219863892,0.04681486090925973
50,18710,5.0,2806500,21649350,4.945262822443719,2806500,699.0,pro,51.61607265472412,22.304058074951172,51.61607265472412,22.304058074951172,73.9201307296753,772.9201307296753,0.04131053611596341
51,21462,5.0,3219300,24868650,5.680632919203809,3219300,699.0,pro,59.29148197174072,25.584697723388672,59.29148197174072,25.584697723388672,84.8761796951294,783.8761796951294,0.036523911084480915
52,24608,5.0,3691200,28559850,6.523796992499509,3691200,699.0,pro,68.0919885635376,29.33502197265625,68.0919885635376,29.33502197265625,97.42701053619385,796.4270105361938,0.032364556670033885
53,28201,5.0,4230150,32790000,7.490070969702534,4230150,699.0,pro,78.17745208740234,33.61821174621582,78.17745208740234,33.61821174621582,111.79566383361816,810.7956638336182,0.02875059976006589
54,32303,5.0,4845450,37635450,8.596895135001258,4845450,837.1800000000001,pro,89.729905128479,38.50817680358887,89.729905128479,38.50817680358887,128.23808193206787,965.4180819320679,0.029886328883759028
55,36977,5.0,5546550,43182000,9.863868393220336,5546550,1117.62,pro,102.95391082763672,44.08001899719238,102.95391082763672,44.08001899719238,147.0339298248291,1264.653929824829,0.034201096082019336
56,42299,5.0,6344850,49526850,11.313193699475814,6344850,1436.94,pro,118.0812120437622,50.42433738708496,118.0812120437622,50.42433738708496,168.50554943084717,1605.4455494308472,0.03795469276887981
57,48348,4.0,5801760,55328610,12.638463420402356,5801760,1219.7040000000002,pro,131.91368579864502,57.63530731201172,131.91368579864502,57.63530731201172,189.54899311065674,1409.252993110657,0.029148113533355193
58,55213,4.0,6625560,61954170,14.1519100387013,6625560,1549.2240000000002,pro,147.7102518081665,65.81902503967285,147.7102518081665,65.81902503967285,213.52927684783936,1762.7532768478395,0.03192641727216126
59,62987,4.0,7558440,69512610,15.87845020400287,7558440,1922.376,pro,165.73097705841064,75.08635520935059,165.73097705841064,75.08635520935059,240.81733226776123,2163.1933322677614,0.03434348885115598
60,71773,4.0,8612760,78125370,17.84582390467427,8612760,2344.1040000000003,pro,186.26539707183838,85.56008338928223,186.26539707183838,85.56008338928223,271.8254804611206,2615.929480461121,0.036447264019354365
61,81678,4.0,9801360,87926730,20.084704112042477,9801360,2819.5440000000003,pro,209.63366031646729,97.36776351928711,209.63366031646729,97.36776351928711,307.0014238357544,3126.5454238357547,0.038278917503314906
62,92813,3.0,8353170,96279900,21.992780846473405,8353170,2240.268,pro,229.54916954040527,110.6417179107666,229.54916954040527,110.6417179107666,340.1908874511719,2580.458887451172,0.02780277426062267
63,105292,3.0,9476280,105756180,24.157404503953515,9476280,2689.512,pro,252.14238166809082,125.5178451538086,252.14238166809082,125.5178451538086,377.6602268218994,3067.1722268218996,0.029130154492477106
64,119228,3.0,10730520,116486700,26.608528515597683,10730520,3191.208,pro,277.7259349822998,142.13085174560547,277.7259349822998,142.13085174560547,419.8567867279053,3611.0647867279054,0.03028705326540666
65,134731,3.0,12125790,128612490,29.378367724615963,12125790,3749.3160000000003,pro,306.63607120513916,160.6118679046631,306.63607120513916,160.6118679046631,467.24793910980225,4216.563939109803,0.03129616746784187
66,151902,2.0,9114120,137726610,31.46026481599703,9114120,2544.648,pro,328.3658266067505,181.08129501342773,328.3658266067505,181.08129501342773,509.4471216201782,3054.0951216201784,0.020105693944913024
67,170829,2.0,10249740,147976350,33.80156643298388,10249740,2998.896,pro,352.803111076355,203.6440372467041,352.803111076355,203.6440372467041,556.4471483230591,3555.3431483230593,0.020812292692242298
68,191582,2.0,11494920,159471270,36.42729886942954,11494920,3496.9680000000003,pro,380.2091360092163,228.38354110717773,380.2091360092163,228.38354110717773,608.592677116394,4105.560677116395,0.021429782949945166
69,214205,1.0,6426150,165897420,37.89519516592097,6426150,1469.46,pro,395.53027153015137,255.35225868225098,395.53027153015137,255.35225868225098,650.8825302124023,2120.3425302124024,0.00989866030303869
70,238711,1.0,7161330,173058750,39.53102529515122,7161330,1763.5320000000002,pro,412.6042127609253,284.56568717956543,412.6042127609253,284.56568717956543,697.1698999404907,2460.701899940491,0.010308288683556648
71,265074,1.0,7952220,181010970,41.34751483972846,7952220,2079.888,pro,431.56378269195557,315.9928321838379,431.56378269195557,315.9928321838379,747.5566148757935,2827.4446148757934,0.010666623715927602
72,293227,0.5,4398405,185409375,42.352222543403194,4398405,699.0,pro,442.05039739608765,349.55382347106934,442.05039739608765,349.55382347106934,791.604220867157,1490.604220867157,0.0050834480483282814
73,323057,0.5,4845855,190255230,43.4591392210149,4845855,837.342,pro,453.60381603240967,385.1139545440674,453.60381603240967,385.1139545440674,838.717770576477,1676.0597705764771,0.00518812398609681
74,354398,0.5,5315970,195571200,44.6734421357087,5315970,1025.388,pro,466.278076171875,422.47533798217773,466.278076171875,422.47533798217773,888.7534141540527,1914.1414141540527,0.0054011067053258
75,387043,0.5,5805645,201376845,45.99959928956349,5805645,1221.258,pro,480.1198124885559,461.3912105560303,480.1198124885559,461.3912105560303,941.5110230445862,2162.769023044586,0.005587929566080735
76,420734,0.5,6311010,207687855,47.441194678111906,6311010,1423.404,pro,495.1664328575134,501.554012298584,495.1664328575134,501.554012298584,996.7204451560974,2420.1244451560974,0.005752148495619791
77,455181,0.25,3413857,211101712,48.22100654790195,3413857,699.0,pro,503.30570220947266,542.6180362701416,503.30570220947266,542.6180362701416,1045.9237384796143,1744.9237384796143,0.003833472263735996
78,490061,0.25,3675457,214777169,49.06057451911543,3675457,699.0,pro,512.0686745643616,584.1982364654541,512.0686745643616,584.1982364654541,1096.2669110298157,1795.2669110298157,0.0036633539723214367
79,525039,0.25,3937792,218714961,49.96006648446849,3937792,699.0,pro,521.4571022987366,625.8952617645264,521.4571022987366,625.8952617645264,1147.352364063263,1846.352364063263,0.0035166004126612744
80,559773,0.25,4198297,222913258,50.919064425361725,4198297,699.0,pro,531.4666223526001,667.3014163970947,531.4666223526001,667.3014163970947,1198.7680387496948,1897.7680387496948,0.0033902457581014
81,593931,0.25,4454482,227367740,51.936581543789984,4454482,699.0,pro,542.086935043335,708.0209255218506,542.086935043335,708.0209255218506,1250.1078605651855,1949.1078605651855,0.003281707573043309
82,627204,0.25,4704030,232071770,53.011101779947644,4704030,780.612,pro,553.3022165298462,747.685432434082,553.3022165298462,747.685432434082,1300.9876489639282,2081.5996489639283,0.0033188558251604394
83,659314,0.125,2472427,234544197,53.57586706501654,2472427,699.0,pro,559.1969418525696,785.9635353088379,559.1969418525696,785.9635353088379,1345.1604771614075,2044.1604771614075,0.0031004354179668676
84,690026,0.125,2587597,237131794,54.16694011079236,2587597,699.0,pro,565.3662538528442,822.5750923156738,565.3662538528442,822.5750923156738,1387.941346168518,2086.941346168518,0.0030244387112493124
85,719148,0.125,2696805,239828599,54.78295904465783,2696805,699.0,pro,571.7959380149841,857.2912216186523,571.7959380149841,857.2912216186523,1429.0871596336365,2128.0871596336365,0.002959178304929773
86,746539,0.125,2799521,242628120,55.422440928499626,2799521,699.0,pro,578.470516204834,889.9438381195068,578.470516204834,889.9438381195068,1468.4143543243408,2167.414354324341,0.002903283491317052
87,772106,0.125,2895397,245523517,56.08382333214293,2895397,699.0,pro,585.3736805915833,920.4220771789551,585.3736805915833,920.4220771789551,1505.7957577705383,2204.7957577705383,0.0028555609693106106
88,795798,0.125,2984242,248507759,56.76550019614924,2984242,699.0,pro,592.4886679649353,948.6651420593262,592.4886679649353,948.6651420593262,1541.1538100242615,2240.1538100242615,0.0028149779341293413
89,817610,0.125,3066037,251573796,57.465861120996266,3066037,699.0,pro,599.7986698150635,974.6670722961426,599.7986698150635,974.6670722961426,1574.465742111206,2273.465742111206,0.002780623698476298
90,837567,0.0625,1570438,253144234,57.82458915007579,1570438,699.0,pro,603.5428857803345,998.457670211792,603.5428857803345,998.457670211792,1602.0005559921265,2301.0005559921265,0.002747243570952684
91,855726,0.0625,1604486,254748720,58.19109460935893,1604486,699.0,pro,607.368278503418,1020.1048851013184,607.368278503418,1020.1048851013184,1627.4731636047363,2326.4731636047363,0.002718712723003317
92,872165,0.0625,1635309,256384029,58.56464082672378,1635309,699.0,pro,611.2671589851379,1039.7017002105713,611.2671589851379,1039.7017002105713,1650.9688591957092,2349.9688591957092,0.002694408580022942
93,886978,0.0625,1663083,258047112,58.94453133293012,1663083,699.0,pro,615.2322578430176,1057.3601722717285,615.2322578430176,1057.3601722717285,1672.592430114746,2371.592430114746,0.0026737894627766935
94,900271,0.0625,1688008,259735120,59.330115343830556,1688008,699.0,pro,619.2567825317383,1073.2066631317139,619.2567825317383,1073.2066631317139,1692.4634456634521,2391.463445663452,0.002656381740235387
95,912155,0.0625,1710290,261445410,59.72078913092334,1710290,699.0,pro,623.3344316482544,1087.3734951019287,623.3344316482544,1087.3734951019287,1710.707926750183,2409.707926750183,0.0026417746180749796
96,922745,0.0625,1730146,263175556,60.115998534032435,1730146,699.0,pro,627.4594211578369,1099.9977588653564,627.4594211578369,1099.9977588653564,1727.4571800231934,2426.4571800231934,0.002629607508058232
