plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,notes,revision_date,date_added,gpc,image_url,image
3059,Vegetables,Squash,Crown Prince,All Sizes,NA,NA,NA,C.maxima,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3060,Vegetables,Squash,Vegetable Marrow,All Sizes,NA,NA,NA,C.pepo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3061,Vegetables,Tomatoes,Beef/Beefsteak,All Sizes,NA,NA,NA,Lycopersicon esculenta,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3062,Herbs,Bay Leaves,NA,All Sizes,NA,NA,NA,Laurus nobilis,NA,NA,2018-10-08,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3062-bay-leaf-02_1614620362.jpg,3062-bay-leaf-02_1614620362.jpg
3063,Herbs,Fennel Leaves,NA,All Sizes,NA,NA,NA,Foeniculum vulgare,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3064,Herbs,Aloe Vera Leaves,NA,All Sizes,NA,NA,NA,Aloe Vera,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3064-aloe-vera_1630597145.jpg,3064-aloe-vera_1630597145.jpg
3065,Fruits,Apples,Cameo,Small,100 size and smaller,Average Fruit Weight = less than 205g,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3066,Fruits,Apples,Cameo,Large,88 size and larger,Average Fruit Weight = 205g and above,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3067,Fruits,Apples,Swiss Gourmet,Small,100 size and smaller,Average Fruit Weight = less than 205g,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3068,Fruits,Apples,Swiss Gourmet,Large,88 size and larger,Average Fruit Weight = 205g and above,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3069,Fruits,Apples,"Gravenstein, Red",Small,100 size and smaller,Average Fruit Weight = less than 205g,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3070,Fruits,Apples,"Gravenstein, Red",Large,88 size and larger,Average Fruit Weight = 205g and above,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3071,Fruits,Apples,"Granny Smith, Red",All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3072,Fruits,Apples,Lady,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3072-apples-lady-01_1614620585.jpg,3072-apples-lady-01_1614620585.jpg
3073,Fruits,Apples,Macoun,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3074,Fruits,Apples,Greening (RI),All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3075,Fruits,Apples,Baldwin,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3076,Fruits,Apples,Melrose,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3077,Fruits,Apples,Northern Spy,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3078,Fruits,Apples,Liberty,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3079,Vegetables,Asparagus,Purple,All Sizes,NA,NA,"This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.",Asparagus officinalis,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3079-asparagus-purple-01_1614620893.jpg,3079-asparagus-purple-01_1614620893.jpg
3080,Fruits,Avocados,Pinkerton,All Sizes,NA,NA,NA,Persea americana,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3081,Fruits,Berries,Saskatoon,All Sizes,NA,NA,NA,Amelanchier alnifolia,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3082,Vegetables,Broccoli,Crowns,All Sizes,NA,NA,NA,Brassica oleracea,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3082-broccoli-crowns-asian-cut-02_1614621117.jpg,3082-broccoli-crowns-asian-cut-02_1614621117.jpg
3083,Vegetables,Brussels Sprouts,Stalk,All Sizes,NA,NA,NA,Brassica olerace,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3083-brussels-sprouts-stalk_1637092988.jpg,3083-brussels-sprouts-stalk_1637092988.jpg
3084,Herbs,Chervil,NA,All Sizes,NA,NA,NA,Anthriscus cerefolium,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3084-chervil-01_1614621387.jpg,3084-chervil-01_1614621387.jpg
3085,Vegetables,Corn,"Indian, Decorative",Large,NA,NA,NA,Zea mays,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3086,Vegetables,Corn,Indian. Decorative,Mini,NA,NA,NA,Zea mays,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3087,Vegetables,Corn,"Indian, Strawberry",All Sizes,NA,NA,NA,Zea mays,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3087-corn-04_1614633780.jpg,3087-corn-04_1614633780.jpg
3088,Fruits,Currants,Red,All Sizes,NA,NA,NA,Ribes sativum,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3089,Vegetables,Eggplant (Aubergine),Chinese,All Sizes,NA,NA,NA,Solanum melongena,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3089-egglplant-chinese_1635266232.jpg,3089-egglplant-chinese_1635266232.jpg
3090,Vegetables,Eggplant (Aubergine),Thai,All Sizes,NA,NA,NA,Solanum melongena,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3090-eggplant-thai_1635266761.jpg,3090-eggplant-thai_1635266761.jpg
3091,Vegetables,Gobo Root/Burdock,NA,All Sizes,NA,NA,NA,Arctium lappa,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3091gobo-root-02_1614634374.jpg,3091gobo-root-02_1614634374.jpg
3092,Fruits,Grapefruit,OroBlanco/Sweetie,All Sizes,NA,NA,NA,Citrus paradisi,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3093,Fruits,Grapes,Retailer Assigned,All Sizes,NA,NA,NA,Vitis vinifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3094,Fruits,Grapes,Retailer Assigned,All Sizes,NA,NA,NA,Vitis vinifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3095,Vegetables,Kale,Multicolor,All Sizes,NA,NA,NA,Brassica oleracea,NA,NA,2003-10-29,2003-10-29,NA,http://check.ifpsglobal.com/file/view/3095-kale-flowering-02_1614634860.jpg,3095-kale-flowering-02_1614634860.jpg
3096,Vegetables,Kohlrabi,Purple/Red/All Other Colors,All Sizes,NA,NA,NA,Brassica oleracea,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3097,Vegetables,Lettuce,"Romaine, Red",All Sizes,NA,NA,NA,Lactuca sativa,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3098,Vegetables,Lettuce,"Boston, Red",All Sizes,NA,NA,NA,Lactuca sativa,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3099,Vegetables,Lotus Root,NA,All Sizes,NA,NA,NA,Nelumbo nucifera,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3099-lotus-root-03_1614635240.jpg,3099-lotus-root-03_1614635240.jpg
3100,Fruits,Melon,Gold Honeydew,All Sizes,NA,NA,NA,Cucumis melo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3101,Fruits,Melon,Piel de Sapo,All Sizes,NA,NA,NA,Cucumis melo,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3102,Vegetables,Mushrooms,Morel,All Sizes,NA,NA,NA,Morchella angusticeps,NA,NA,2018-10-08,1999-12-31,NA,NA,NA
3103,Vegetables,Mushrooms,Enoki,All Sizes,NA,NA,NA,Flammulina velutipe,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3103-mushrooms-enoki-01_1614635622.jpg,3103-mushrooms-enoki-01_1614635622.jpg
3104,Fruits,Apples,RoHo 3615,All Sizes,NA,NA,NA,Malus domestica,Evelina,NA,2020-04-16,2012-12-11,NA,http://check.ifpsglobal.com/file/view/3104-roho-3615-apple_1460402964.JPG,3104-roho-3615-apple_1460402964.JPG
3105,Nuts,Cashews,NA,All Sizes,NA,NA,NA,Anacardium occidental,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3105-cashews-03_1614635878.JPG,3105-cashews-03_1614635878.JPG
3106,Nuts,Macadamia,NA,All Sizes,NA,NA,NA,Macadamia integrifolia,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3106-macadamias_1614705972.JPG,3106-macadamias_1614705972.JPG
3107,Fruits,Oranges,Navel,Medium,88/72 size,Average Fruit Dimensions = 66mm - under 84mm,NA,Citrus spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4012-navel-orange_1634141175.jpg,4012-navel-orange_1634141175.jpg
3108,Fruits,Oranges,Valencia,Medium,88/72 size,Average Fruit Dimensions = 66mm - under 84mm,NA,Citrus spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3108-valencia-orange_1635171041.jpg,3108-valencia-orange_1635171041.jpg
3109,Fruits,Oranges,Seville (Marmalade type),All Sizes,NA,NA,NA,Citrus spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3109-oranges-seville-03_1614706906.jpg,3109-oranges-seville-03_1614706906.jpg
3110,Fruits,Oranges,"Navel, Cara Cara (Red)",All Sizes,NA,NA,NA,Citrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3111,Fruits,Papaya/Pawpaw,Red-Fleshed (Solo Sunrise),All Sizes,NA,NA,NA,Carica papaya,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3112,Fruits,Papaya/Pawpaw,Meridol,All Sizes,NA,NA,NA,Carica papaya,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3112-papaya-meridol_1634143186.jpg,3112-papaya-meridol_1634143186.jpg
3113,Fruits,Peaches,Flat White Flesh (Saturn type),All Sizes,NA,NA,NA,Prunus persica,NA,NA,2021-02-26,2008-11-26,NA,http://check.ifpsglobal.com/file/view/3113-peaches-donut-04_1614707155.jpg,3113-peaches-donut-04_1614707155.jpg
3114,Fruits,Mango,Green,Extra Large,7 size and larger,NA,NA,Magnifera Indica,Keitt and Francis varieties,NA,2016-04-12,2008-11-26,NA,http://check.ifpsglobal.com/file/view/3114-green-mango_1460476199.JPG,3114-green-mango_1460476199.JPG
3115,Fruits,Peaches,Flat Yellow Flesh,All Sizes,NA,NA,NA,Prunus persica,NA,NA,2021-02-26,2008-11-26,NA,http://check.ifpsglobal.com/file/view/yellow-flesh-peach_1626369347.JPG,yellow-flesh-peach_1626369347.JPG
3116,Fruits,Peaches,Yellow Flesh (Tree Ripened/Ready-to-eat),Small,70 size and smaller,Average Fruit Weight =  less than 185g,Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.,Prunus persica,NA,NA,2021-02-26,1999-12-31,NA,http://check.ifpsglobal.com/file/view/4403-peaches-1-1625664942_1633450458.jpg,4403-peaches-1-1625664942_1633450458.jpg
